unitid,cohort,Rate,iclevel,control,hloffer,locale,instcat,c21enprf,cbsatype,GrantRate,GrantAvg,PellRate,LoanRate,LoanAvg,InDistrictT,InDistrictTDiff,InDistrictF,InDistrictFDiff,InStateT,InstateF,OutStateT,OutStateTDiff,OutStateF,OutStateFDiff,Housing,ScaledHousingCap,board,roomamt,boardamt,AvgSalary,StuFacRatio
100654,1222,28.07%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,85.18%,9369.1144708,68.53%,65.52%,4514.9577852,0,0,0,0,8610,1414,1,8610,0,0,1,1.8346541787,1,3790,3960,79059.181373,12.5
100663,1587,62.44%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,71.29%,6823.0680934,32.53%,44.01%,3119.6475717,0,0,0,0,8568,0,1,11832,0,0,1,3.9879310345,2,7767,4540,101811.58797,15.5
100690,6,66.67%,Four or more years,Private not-for-profit,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Majority graduate,Metropolitan Statistical Area,92.28%,4193.2885906,78.52%,84.23%,6259.1812081,0,0,0,0,9000,950,0,0,0,0,0,,3,0,0,,
100706,1026,60.72%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,75.57%,7213.3146879,23.77%,35.78%,2333.1508658,0,0,0,0,9730,1758,1,12396,0,0,1,3.6486363636,1,0,0,88356.863636,13.0
100724,1006,28.43%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,92.97%,9326.3702269,72.05%,76.37%,5861.076093,0,0,0,0,8328,2740,1,8328,0,0,1,1.7383357383,1,3500,2550,,
100733,,,Four or more years,Public,Doctor^s degree,City: Small,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
100751,7169,72.23%,Four or more years,Public,Doctor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,65.06%,9779.8163877,17.12%,34.54%,2198.2344174,0,0,0,0,10780,840,1,19470,0,0,1,3.3745338306,2,5900,4234,96490.564122,11.7
100760,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,85.77%,3053.1494179,29.82%,14.88%,544.02652005,0,0,0,0,3690,1230,1,3690,0,0,0,,3,0,0,62902.171429,22.1
100812,,,Four or more years,Public,Master^s degree,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,84.38%,2421.6781994,40.36%,45.50%,3373.5212054,0,0,0,0,6750,2310,1,6750,0,0,0,,3,0,0,77369.956522,19.5
100830,566,35.69%,Four or more years,Public,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,87.13%,6408.9492571,48.21%,51.38%,3425.7172571,0,0,0,0,7992,868,1,9960,0,0,1,3.6458333333,2,4680,2688,72141.722543,12.6
100858,4848,80.88%,Four or more years,Public,Doctor^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,57.20%,5441.5625383,13.01%,28.69%,1825.1206693,0,0,0,0,10080,1746,1,20160,0,0,1,5.0808625337,2,8892,5704,97184.88941,11.5
100937,441,69.84%,Four or more years,Private not-for-profit,Bachelor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,97.70%,12379.804252,21.52%,67.85%,4485.6988485,0,0,0,0,18850,1250,0,0,0,0,1,0.7961918195,2,7900,5650,68890.060606,5.7
101028,,,At least 2 but less than 4 years,Public,Associate^s degree,Rural: Fringe,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,82.34%,6776.7769836,45.68%,23.52%,1331.606862,0,0,0,0,3192,744,1,3192,0,0,0,,3,0,0,58068.9,17.5
101116,22,13.64%,Four or more years,Private for-profit,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",High undergraduate,Metropolitan Statistical Area,78.20%,3772.1384083,55.36%,61.25%,5130.9480969,0,0,0,0,16920,1080,0,0,0,0,0,,3,0,0,,
101143,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,57.44%,3115.2415699,37.09%,19.68%,978.15201769,0,0,0,0,3690,1170,1,3690,0,0,0,,3,0,0,81073.981818,16.4
101161,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,63.25%,3090.2700346,31.42%,20.51%,1029.4205383,0,0,0,0,3990,870,1,3990,0,0,1,11.349829352,1,0,0,66296.347561,20.3
101189,277,18.05%,Four or more years,Private not-for-profit,Doctor^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,77.41%,8783.3346099,46.10%,60.22%,5018.3547152,0,0,0,0,21500,1990,0,0,0,0,1,2.9673295455,1,3900,4200,51966.34,20.9
101240,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,72.98%,3408.7230846,45.22%,0.00%,0,0,0,0,0,3936,1312,1,3936,0,0,1,36.309090909,1,0,0,61489.475806,16.1
101277,,,Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Town: Distant,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Micropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,
101286,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Small,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,72.73%,3645.6968792,43.31%,0.00%,0,0,0,0,0,3690,1110,1,3690,0,0,0,,3,0,0,58094.864,14.7
101295,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,84.21%,2877.039261,39.89%,21.54%,1215.2112114,0,0,0,0,3690,1170,1,3690,0,0,1,26.461111111,1,2800,2100,71601.232759,20.5
101301,,,At least 2 but less than 4 years,Public,Associate^s degree,Town: Distant,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Micropolitan Statistical Area,91.26%,7418.1930091,49.70%,0.00%,0,0,0,0,0,3690,870,1,3690,0,0,0,,3,0,0,57335.974359,16.9
101365,,,Four or more years,Private not-for-profit,Post-master^s certificate,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Very high undergraduate,Metropolitan Statistical Area,80.39%,3654.1911765,67.48%,75.82%,6301.3398693,0,0,0,0,13320,880,0,0,0,0,0,,3,0,0,,
101435,251,44.22%,Four or more years,Private not-for-profit,Master^s degree,City: Midsize,"Degree-granting, primarily baccalaureate or above",Exclusively undergraduate four-year,Metropolitan Statistical Area,97.28%,13817.645652,39.46%,70.43%,4689.7315217,0,0,0,0,25995,1497,0,0,0,0,1,1.3469985359,1,0,0,64200.132075,8.7
101453,,,Four or more years,Private not-for-profit,Master^s degree,City: Small,"Degree-granting, primarily baccalaureate or above",Majority undergraduate,Metropolitan Statistical Area,94.29%,7248.5428571,51.43%,4.29%,180.31428571,0,0,0,0,10152,1480,0,0,0,0,1,2.2580645161,3,4740,0,,
101462,,,At least 2 but less than 4 years,Public,Associate^s degree,City: Midsize,"Degree-granting, associate^s and certificates",Exclusively undergraduate two-year,Metropolitan Statistical Area,84.61%,3042.8569697,45.21%,0.00%,0,0,0,0,0,3690,1140,1,3690,0,0,0,,3,0,0,54761,15.9
101471,,,At least 2 but less than 4 years,Public,Associate^s degree,Suburb: Large,"Degree-granting, associate^s and certificates","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Metropolitan Statistical Area,100.0%,1706.4411028,18.05%,0.00%,0,0,0,0,0,4788,684,0,0,0,0,0,,3,0,0,,
